show_id,type,title,director,cast_members,country,date_added,release_year,rating,duration,listed_in,description
s100,TV Show,Age Family,Michael Brown,"Priya Kobayashi, Kenji Wilson, Hana Petrov, Wei Nair, Meera Rahman","Nigeria, Mexico","July 04, 2019",2022,TV-MA,3 Seasons,"Music & Musicals, Romantic Movies, Reality TV",Follow the lives of a royal family as they navigate political intrigue.
s101,Movie,Wild Kingdom,Carlos Mendes,"Priya Khan, Sophia Smith, Olivia Torres, Rahul Brown",Mexico,"December 24, 2019",2015,PG,107 min,"Dramas, Reality TV, Romantic Movies",A gripping story about hope set against the backdrop of a distant future.
s102,TV Show,House Family,Sofia Rossi,"Carlos Singh, Fatima Silva",United States,"February 13, 2020",2021,TV-MA,5 Seasons,"Reality TV, Documentaries",Follow the lives of young rebels as they navigate a changing world.
s103,TV Show,Chronicles Brothers,Nina Petrova,"Olivia Smith, Lucas Silva, Kenji Smith",Germany,"August 31, 2018",2022,TV-Y7,5 Seasons,Thrillers,Follow the lives of a group of friends as they navigate dangerous secrets.
s104,TV Show,The Republic,Aarav Mehta,"Elena Garcia, Sophia Wilson, Olivia Chen","Spain, France","November 15, 2016",2005,TV-14,6 Seasons,Thrillers,Follow the lives of young rebels as they navigate dangerous secrets.
s105,TV Show,World Brothers,Rajesh Kumar,"Elena Kobayashi, Priya Smith","Italy, United States","January 19, 2019",2020,PG,4 Seasons,"International Movies, Stand-Up Comedy",Follow the lives of rival gangs as they navigate dangerous secrets.
s106,Movie,Broken Valley,Aarav Mehta,"Wei Brown, Priya Garcia, Aisha Kapoor",Spain,"September 03, 2019",2018,TV-PG,135 min,Kids' TV,A gripping story about revenge set against the backdrop of a small town.
s107,TV Show,Age Republic,Grace Lee,"Fatima Diallo, Rahul Chen, Fatima Khan, Hana Reddy","Italy, Spain, Australia","January 01, 2019",2008,PG-13,3 Seasons,"International Movies, Thrillers",Follow the lives of a group of friends as they navigate a changing world.
s108,TV Show,Life Doctors,,"Isabella Chen, Carlos Silva, Priya Brown","Nigeria, United Kingdom, Germany","January 31, 2021",2022,PG,6 Seasons,Anime Series,Follow the lives of young rebels as they navigate high-stakes competition.
s109,Movie,Hidden Journey,Rajesh Kumar,"Noah Kobayashi, Liam Petrov","Nigeria, United States, United Kingdom","September 03, 2016",2001,TV-Y,175 min,"Comedies, Documentaries",A gripping story about betrayal set against the backdrop of the high seas.
s110,Movie,Sacred Legacy,Rajesh Kumar,"Rahul Kobayashi, Noah Wilson, Aisha Singh","Australia, Egypt, Nigeria","September 15, 2016",2016,TV-G,119 min,Action & Adventure,A gripping story about revenge set against the backdrop of a small town.
s111,Movie,Silent Fortress,Tom Wilson,"Wei Novak, Olivia Rossi","Spain, South Korea, Italy","September 15, 2021",2004,PG,166 min,"Thrillers, Action & Adventure",A gripping story about ambition set against the backdrop of a forgotten era.
s112,Movie,Sacred Garden,Carlos Mendes,"Rahul Muller, Amara Singh, Rahul Johnson, Diego Smith, Olivia Wilson","Egypt, Germany","April 01, 2024",2008,TV-MA,122 min,"International Movies, Dramas, Documentaries",A gripping story about revenge set against the backdrop of the high seas.
s113,TV Show,Case Republic,,"Kenji Reddy, Carlos Kobayashi, Amara Petrov, Wei Petrov, Olivia Reddy","Australia, South Korea","August 27, 2022",2017,TV-MA,2 Seasons,Comedies,Follow the lives of a group of friends as they navigate dangerous secrets.
s114,Movie,Frozen Valley,Yuki Tanaka,"Elena Kobayashi, Elena Muller, Amara Nair, Aisha Diallo, Aisha Kobayashi",Japan,"October 08, 2018",2007,TV-Y7,166 min,"Stand-Up Comedy, Horror Movies",A gripping story about survival set against the backdrop of the high seas.
s115,TV Show,Files Family,,"Priya Khan, Aisha Rahman",United States,"February 19, 2016",2020,PG,6 Seasons,"Documentaries, International Movies",Follow the lives of a group of friends as they navigate high-stakes competition.
s116,Movie,Burning Horizon,Grace Lee,"Liam Khan, Wei Torres",United States,"December 01, 2017",2016,TV-Y7,154 min,"Documentaries, Horror Movies",A gripping story about revenge set against the backdrop of a distant future.
s117,TV Show,Files Republic,Aarav Mehta,"Carlos Novak, Hana Singh, Wei Muller, Elena Khan, Olivia Johnson",United States,"August 06, 2017",2015,NC-17,1 Season,"Reality TV, Romantic Movies, Horror Movies",Follow the lives of a group of friends as they navigate political intrigue.
s118,Movie,Distant Kingdom,Tom Wilson,"Fatima Khan, Liam Rossi","Brazil, Canada","September 11, 2024",2001,TV-Y7,76 min,Action & Adventure,A gripping story about hope set against the backdrop of a small town.
s119,TV Show,Chronicles Sisters,James Cooper,"Isabella Rahman, Isabella Wilson, Diego Singh",Brazil,"March 19, 2020",2022,R,4 Seasons,"Stand-Up Comedy, Thrillers",Follow the lives of rival gangs as they navigate political intrigue.
s120,Movie,Golden Fortress,Fatima Noor,"Sophia Novak, Lucas Silva, Liam Novak",South Korea,"February 27, 2023",2005,TV-PG,112 min,"Comedies, Action & Adventure",A gripping story about family set against the backdrop of a bustling city.
s121,Movie,Hidden Echo,James Cooper,"Wei Torres, Diego Petrov, Rahul Reddy, Ivan Torres, Ivan Nair",Brazil,"December 17, 2019",2000,R,92 min,"Crime TV Shows, Dramas",A gripping story about revenge set against the backdrop of the high seas.
s122,Movie,Forgotten Garden,Laura Muller,"Noah Kapoor, Noah Diallo, Isabella Smith",Germany,"May 21, 2016",2000,TV-G,88 min,"Sci-Fi & Fantasy, Reality TV",A gripping story about family set against the backdrop of the high seas.
s123,Movie,Midnight Symphony,Yuki Tanaka,"Carlos Muller, Noah Petrov",Mexico,"November 22, 2019",2011,TV-MA,147 min,"Romantic Movies, International Movies",A gripping story about betrayal set against the backdrop of a war-torn nation.
s124,TV Show,Age Republic,Yuki Tanaka,"Lucas Rossi, Noah Reddy, Carlos Chen, Meera Nair","United Kingdom, Mexico, United States","May 08, 2022",2013,TV-G,6 Seasons,"Thrillers, International Movies",Follow the lives of a medical team as they navigate dangerous secrets.
s125,Movie,Eternal Voyage,Yuki Tanaka,"Liam Garcia, Noah Garcia, Wei Brown, Meera Brown, Diego Muller","Brazil, Canada, Egypt","April 14, 2024",2007,NC-17,85 min,"Music & Musicals, Kids' TV",A gripping story about family set against the backdrop of a bustling city.
s126,TV Show,Age Brothers,Aarav Mehta,"Sophia Torres, Diego Petrov, Hana Kapoor, Lucas Chen, Meera Petrov","Mexico, United States","March 16, 2021",2015,TV-Y7,1 Season,"Music & Musicals, Kids' TV, Anime Series",Follow the lives of a royal family as they navigate high-stakes competition.
s127,Movie,Crimson City,Michael Brown,"Hana Khan, Fatima Chen","Germany, Mexico","July 31, 2017",2008,NC-17,85 min,"Comedies, International Movies",A gripping story about love set against the backdrop of a forgotten era.
s128,TV Show,Age Academy,Priya Sharma,"Arjun Garcia, Fatima Rossi, Ivan Reddy, Isabella Petrov, Isabella Rahman","Spain, United Kingdom","April 25, 2021",2012,PG-13,5 Seasons,"Kids' TV, Thrillers, Action & Adventure",Follow the lives of a medical team as they navigate political intrigue.
s129,Movie,Rising Signal,David Kim,"Carlos Johnson, Carlos Nair, Diego Smith, Arjun Singh",Canada,"May 30, 2016",1999,TV-Y,120 min,"Comedies, Stand-Up Comedy",A gripping story about ambition set against the backdrop of the high seas.
s130,Movie,Sacred Storm,Laura Muller,"Olivia Silva, Wei Smith, Diego Singh",Australia,"March 28, 2017",2020,TV-MA,131 min,"Music & Musicals, Thrillers",A gripping story about hope set against the backdrop of the high seas.
s131,Movie,Last Dream,Carlos Mendes,"Fatima Johnson, Rahul Khan, Elena Muller","Egypt, United States","August 17, 2024",2011,TV-G,73 min,"Documentaries, Stand-Up Comedy",A gripping story about justice set against the backdrop of a distant future.
s132,TV Show,Case Republic,Ahmed Hassan,"Lucas Garcia, Elena Kapoor, Rahul Garcia, Sophia Johnson, Olivia Diallo","India, United States, United Kingdom","July 09, 2020",2016,TV-PG,6 Seasons,"Comedies, Thrillers, Crime TV Shows",Follow the lives of a royal family as they navigate personal crises.
s133,Movie,Lost Storm,Carlos Mendes,"Kenji Kobayashi, Fatima Khan, Wei Smith, Kenji Khan",Brazil,"October 11, 2023",2002,TV-14,104 min,"Thrillers, Documentaries",A gripping story about justice set against the backdrop of the high seas.
s134,Movie,Rising Horizon,Ana Silva,"Noah Smith, Arjun Reddy, Isabella Rossi",Egypt,"January 06, 2023",2014,PG,117 min,"Action & Adventure, Dramas",A gripping story about family set against the backdrop of a forgotten era.
s135,TV Show,House Detectives,,"Noah Garcia, Wei Kobayashi, Priya Kapoor, Fatima Nair, Ivan Torres","India, Japan","December 11, 2019",2008,TV-MA,4 Seasons,Thrillers,Follow the lives of a group of friends as they navigate a changing world.
s136,Movie,Eternal Path,James Cooper,"Noah Torres, Kenji Johnson, Meera Reddy, Isabella Khan","South Korea, United Kingdom","July 25, 2020",2004,TV-G,106 min,"Music & Musicals, Anime Series",A gripping story about family set against the backdrop of a small town.
s137,TV Show,House Empire,James Cooper,"Noah Reddy, Aisha Nair, Elena Muller, Lucas Wilson",Brazil,"January 10, 2024",2024,TV-PG,5 Seasons,"International Movies, Crime TV Shows",Follow the lives of a group of friends as they navigate high-stakes competition.
s138,TV Show,House Republic,Yuki Tanaka,"Rahul Khan, Kenji Novak",France,"December 27, 2022",2008,TV-Y,7 Seasons,Horror Movies,Follow the lives of a medical team as they navigate high-stakes competition.
s139,Movie,Hidden Signal,Wong Kar Lin,"Kenji Petrov, Olivia Singh, Liam Rossi, Elena Brown, Olivia Torres","Australia, Canada, Japan","April 15, 2016",2011,NC-17,127 min,"Sci-Fi & Fantasy, Action & Adventure",A gripping story about family set against the backdrop of a bustling city.
s140,Movie,Crimson Echo,David Kim,"Liam Garcia, Ivan Rossi, Noah Torres, Liam Singh, Elena Brown",Japan,"April 03, 2019",2006,TV-Y7,171 min,"Dramas, Sci-Fi & Fantasy, Music & Musicals",A gripping story about survival set against the backdrop of a small town.
s141,Movie,Silent Kingdom,Ana Silva,"Priya Torres, Arjun Chen, Meera Chen",Canada,"September 24, 2023",2009,PG,135 min,"International Movies, Crime TV Shows",A gripping story about love set against the backdrop of the high seas.
s142,Movie,Hidden Symphony,Aarav Mehta,"Noah Johnson, Sophia Smith, Isabella Garcia, Priya Muller",Mexico,"February 25, 2020",2004,NC-17,167 min,Music & Musicals,A gripping story about hope set against the backdrop of a small town.
s143,Movie,Endless Legacy,Wong Kar Lin,"Olivia Petrov, Hana Novak","France, United States, Canada","June 07, 2019",2009,TV-Y,125 min,Dramas,A gripping story about ambition set against the backdrop of a distant future.
s144,Movie,Golden Dream,Grace Lee,"Ivan Singh, Fatima Kobayashi, Lucas Torres, Kenji Rahman","Japan, Nigeria","February 18, 2024",2016,TV-G,72 min,Horror Movies,A gripping story about revenge set against the backdrop of a forgotten era.
s145,Movie,Secret Promise,Ana Silva,"Rahul Muller, Rahul Rahman, Priya Muller, Isabella Muller, Hana Silva","United States, Germany","February 21, 2017",2008,TV-14,73 min,"Reality TV, International Movies",A gripping story about justice set against the backdrop of the high seas.
s146,Movie,Shadow Harbor,Fatima Noor,"Fatima Nair, Diego Garcia, Arjun Reddy, Aisha Brown, Sophia Wilson",Japan,"June 21, 2024",2016,TV-14,124 min,"International Movies, Crime TV Shows",A gripping story about hope set against the backdrop of the high seas.
s147,TV Show,World Brothers,,"Ivan Rossi, Lucas Torres, Liam Chen, Rahul Johnson, Arjun Kapoor","Mexico, United Kingdom","May 10, 2020",2005,TV-14,2 Seasons,"International Movies, Comedies",Follow the lives of a group of friends as they navigate political intrigue.
s148,Movie,Last Journey,Fatima Noor,"Lucas Novak, Meera Rossi, Diego Torres","United Kingdom, South Korea","March 08, 2019",2020,R,80 min,"International Movies, Anime Series, Romantic Movies",A gripping story about love set against the backdrop of a war-torn nation.
s149,Movie,Wild Voyage,Ana Silva,"Amara Wilson, Liam Diallo, Wei Garcia, Lucas Chen, Sophia Rahman","Canada, Egypt, United States","June 25, 2023",2012,TV-MA,118 min,"Horror Movies, Sci-Fi & Fantasy",A gripping story about hope set against the backdrop of the high seas.
s150,Movie,Wild Symphony,Priya Sharma,"Rahul Johnson, Meera Wilson",Canada,"February 18, 2017",2019,NC-17,153 min,"Action & Adventure, International Movies, Music & Musicals",A gripping story about family set against the backdrop of a forgotten era.
s151,Movie,Midnight Garden,Nina Petrova,"Ivan Brown, Lucas Novak, Amara Kobayashi, Ivan Reddy","Egypt, United States","February 17, 2019",2021,PG,177 min,International Movies,A gripping story about family set against the backdrop of a war-torn nation.
s152,Movie,Crimson Horizon,Rajesh Kumar,"Ivan Silva, Diego Muller",United Kingdom,"October 17, 2021",2002,TV-Y,130 min,Anime Series,A gripping story about survival set against the backdrop of a distant future.
s153,Movie,Broken Horizon,Wong Kar Lin,"Fatima Diallo, Elena Novak, Fatima Reddy","Japan, Brazil","August 07, 2017",2019,TV-Y7,172 min,"Action & Adventure, Sci-Fi & Fantasy",A gripping story about hope set against the backdrop of a forgotten era.
s154,Movie,Distant River,Wong Kar Lin,"Aisha Kobayashi, Hana Brown, Lucas Muller","Canada, Brazil","March 07, 2021",2018,TV-PG,176 min,"Documentaries, Crime TV Shows, Kids' TV",A gripping story about survival set against the backdrop of a small town.
s155,Movie,Secret River,Laura Muller,"Aisha Chen, Kenji Reddy, Liam Kobayashi","Mexico, Japan","April 15, 2022",1998,TV-14,162 min,"Stand-Up Comedy, Sci-Fi & Fantasy",A gripping story about hope set against the backdrop of a distant future.
s156,Movie,Forgotten Dream,James Cooper,"Kenji Garcia, Amara Reddy, Kenji Smith, Lucas Wilson",India,"November 01, 2024",2004,R,121 min,"Crime TV Shows, Thrillers",A gripping story about love set against the backdrop of a small town.
s157,Movie,Endless Symphony,Nina Petrova,"Olivia Brown, Ivan Petrov","Brazil, Egypt, United Kingdom","January 04, 2020",2006,NC-17,175 min,"Romantic Movies, Music & Musicals, Kids' TV",A gripping story about hope set against the backdrop of a forgotten era.
s158,Movie,Midnight Echo,Wong Kar Lin,"Arjun Silva, Rahul Brown, Hana Silva",Mexico,"April 25, 2016",2004,TV-G,172 min,"Reality TV, Crime TV Shows",A gripping story about ambition set against the backdrop of a forgotten era.
s159,Movie,Rising Dream,Miguel Torres,"Diego Torres, Elena Diallo, Isabella Petrov, Elena Brown, Hana Silva",Australia,"April 14, 2019",2007,NC-17,166 min,"Action & Adventure, Stand-Up Comedy, Documentaries",A gripping story about survival set against the backdrop of a distant future.
s160,Movie,Distant Chronicles,Carlos Mendes,"Priya Rossi, Priya Wilson","Italy, Spain","August 09, 2016",2003,PG-13,92 min,"Sci-Fi & Fantasy, Thrillers, Horror Movies",A gripping story about family set against the backdrop of a war-torn nation.
s161,Movie,Shadow Harbor,Tom Wilson,"Kenji Torres, Isabella Petrov, Olivia Silva, Noah Kobayashi, Olivia Khan",Canada,"April 12, 2019",2003,TV-Y,79 min,"Crime TV Shows, Thrillers",A gripping story about family set against the backdrop of a small town.
s162,TV Show,Diaries Family,Ana Silva,"Aisha Chen, Elena Brown",Egypt,"July 14, 2018",2007,TV-Y7,5 Seasons,"Romantic Movies, Horror Movies",Follow the lives of young rebels as they navigate personal crises.
s163,Movie,Last Promise,Ravi Shah,"Liam Wilson, Lucas Muller","Italy, South Korea, Brazil","June 22, 2020",2010,PG,127 min,Stand-Up Comedy,A gripping story about betrayal set against the backdrop of a war-torn nation.
s164,TV Show,Rules Detectives,David Kim,"Elena Novak, Ivan Johnson",United States,"August 18, 2024",2010,TV-MA,3 Seasons,"Dramas, Horror Movies",Follow the lives of young rebels as they navigate dangerous secrets.
s165,Movie,Last Path,Ana Silva,"Olivia Smith, Isabella Diallo, Amara Silva, Meera Petrov, Noah Novak","Australia, Germany","February 19, 2018",2009,TV-Y,75 min,Action & Adventure,A gripping story about betrayal set against the backdrop of a forgotten era.
s166,TV Show,Age Detectives,Aarav Mehta,"Meera Kapoor, Arjun Reddy, Priya Silva, Fatima Reddy, Wei Reddy",Spain,"November 26, 2022",2005,TV-PG,5 Seasons,Stand-Up Comedy,Follow the lives of rival gangs as they navigate a changing world.
s167,TV Show,World Republic,Priya Sharma,"Hana Reddy, Elena Kapoor, Arjun Smith",Egypt,"June 09, 2021",2022,TV-G,4 Seasons,"Comedies, Anime Series",Follow the lives of rival gangs as they navigate political intrigue.
s168,Movie,Last Harbor,Tom Wilson,"Rahul Smith, Kenji Silva, Noah Rossi","Egypt, South Korea","January 14, 2016",2011,NC-17,123 min,"Dramas, Thrillers",A gripping story about hope set against the backdrop of a war-torn nation.
s169,TV Show,Age Academy,Sofia Rossi,"Aisha Wilson, Fatima Petrov, Sophia Singh, Diego Singh","United States, Japan","August 30, 2022",2007,TV-Y7,7 Seasons,"Romantic Movies, Documentaries",Follow the lives of a royal family as they navigate a changing world.
s170,Movie,Frozen Path,James Cooper,"Priya Kobayashi, Olivia Rossi","Australia, South Korea","June 16, 2017",2022,PG-13,165 min,"Sci-Fi & Fantasy, Anime Series",A gripping story about survival set against the backdrop of a war-torn nation.
s171,Movie,Hidden Voyage,Yuki Tanaka,"Fatima Nair, Meera Chen",Nigeria,"December 01, 2015",2022,R,142 min,"Sci-Fi & Fantasy, International Movies, Horror Movies",A gripping story about justice set against the backdrop of a forgotten era.
s172,Movie,Endless Kingdom,Carlos Mendes,"Noah Muller, Amara Rossi, Fatima Torres","South Korea, Egypt, Australia","September 14, 2023",2015,TV-MA,163 min,"Stand-Up Comedy, Dramas",A gripping story about revenge set against the backdrop of a forgotten era.
s173,Movie,Golden Echo,Aarav Mehta,"Meera Nair, Liam Khan, Ivan Nair","Spain, Italy, Germany","July 19, 2018",2010,R,85 min,"Sci-Fi & Fantasy, Reality TV",A gripping story about revenge set against the backdrop of a bustling city.
s174,TV Show,The Family,Laura Muller,"Liam Garcia, Wei Brown, Fatima Muller",India,"March 04, 2019",2005,TV-PG,4 Seasons,International Movies,Follow the lives of a group of friends as they navigate a changing world.
s175,Movie,Lost Signal,Nina Petrova,"Noah Garcia, Hana Singh, Isabella Rossi, Kenji Kapoor, Isabella Smith","Nigeria, Italy, India","August 27, 2023",2015,TV-Y,72 min,"Action & Adventure, Dramas",A gripping story about revenge set against the backdrop of the high seas.
s176,Movie,Midnight Dream,Aarav Mehta,"Priya Garcia, Carlos Rossi, Priya Smith, Hana Diallo, Aisha Diallo","Brazil, Germany","November 22, 2022",2013,PG,89 min,Music & Musicals,A gripping story about betrayal set against the backdrop of a small town.
s177,TV Show,Files Court,Sofia Rossi,"Noah Kapoor, Elena Rossi, Wei Silva, Carlos Rahman","United States, Spain, Germany","November 23, 2016",2015,TV-14,4 Seasons,"Reality TV, Sci-Fi & Fantasy",Follow the lives of a group of detectives as they navigate dangerous secrets.
s178,Movie,Shadow Echo,Grace Lee,"Ivan Kobayashi, Fatima Novak","Mexico, Spain, Australia","June 07, 2024",2016,TV-Y7,99 min,"Stand-Up Comedy, Sci-Fi & Fantasy",A gripping story about ambition set against the backdrop of a small town.
s179,Movie,Frozen Path,Laura Muller,"Amara Singh, Olivia Silva, Wei Silva, Rahul Singh, Meera Petrov",Spain,"May 06, 2020",2007,NC-17,124 min,"Dramas, Kids' TV",A gripping story about betrayal set against the backdrop of a bustling city.
s180,TV Show,House Family,Yuki Tanaka,"Amara Singh, Noah Novak, Aisha Diallo","Egypt, Brazil, Spain","November 20, 2024",2022,PG-13,4 Seasons,"Thrillers, Comedies, International Movies",Follow the lives of a group of friends as they navigate political intrigue.
s181,TV Show,The Empire,,"Elena Silva, Kenji Khan, Lucas Kapoor","United States, Brazil, United Kingdom","April 05, 2022",2011,TV-PG,7 Seasons,Documentaries,Follow the lives of young rebels as they navigate high-stakes competition.
s182,Movie,Burning Fortress,Fatima Noor,"Isabella Kapoor, Aisha Novak",France,"January 08, 2017",2024,PG-13,86 min,"Anime Series, Horror Movies",A gripping story about ambition set against the backdrop of a bustling city.
s183,TV Show,Life Squad,David Kim,"Diego Brown, Noah Petrov, Lucas Nair",United States,"September 26, 2020",2019,PG,3 Seasons,"Thrillers, Sci-Fi & Fantasy",Follow the lives of a group of detectives as they navigate dangerous secrets.
s184,Movie,Shadow Valley,Rajesh Kumar,"Isabella Brown, Rahul Torres, Carlos Novak","South Korea, Brazil","February 04, 2016",2000,TV-G,84 min,"Romantic Movies, Comedies, Thrillers",A gripping story about love set against the backdrop of a war-torn nation.
s185,Movie,Lost Echo,Wong Kar Lin,"Rahul Torres, Aisha Torres, Elena Khan","Japan, Mexico","January 25, 2016",2018,PG,153 min,"Romantic Movies, Sci-Fi & Fantasy, Thrillers",A gripping story about revenge set against the backdrop of a bustling city.
s186,Movie,Frozen Garden,Laura Muller,"Kenji Nair, Elena Muller, Amara Brown, Hana Silva",France,"August 25, 2023",2015,R,113 min,"Reality TV, Music & Musicals",A gripping story about justice set against the backdrop of a distant future.
s187,TV Show,House Empire,,"Fatima Johnson, Isabella Reddy","Japan, Brazil","January 18, 2018",2024,TV-Y7,3 Seasons,"Anime Series, International Movies, Sci-Fi & Fantasy",Follow the lives of a royal family as they navigate political intrigue.
s188,TV Show,Rules Republic,Wong Kar Lin,"Elena Smith, Kenji Silva",France,"October 29, 2023",2015,TV-14,4 Seasons,Dramas,Follow the lives of a medical team as they navigate dangerous secrets.
s189,Movie,Crimson Dream,Aarav Mehta,"Wei Diallo, Kenji Chen",Australia,"December 15, 2016",2023,TV-14,146 min,Action & Adventure,A gripping story about love set against the backdrop of a distant future.
s190,TV Show,Age Republic,Ana Silva,"Priya Rahman, Ivan Kapoor, Liam Novak","South Korea, Mexico","May 22, 2017",2009,TV-PG,6 Seasons,"Crime TV Shows, Sci-Fi & Fantasy, Horror Movies",Follow the lives of a royal family as they navigate political intrigue.
s191,TV Show,Age Squad,Michael Brown,"Meera Brown, Sophia Rahman",Australia,"August 04, 2022",2013,PG,4 Seasons,"Reality TV, Comedies, Stand-Up Comedy",Follow the lives of a group of detectives as they navigate political intrigue.
s192,TV Show,House Court,,"Amara Reddy, Kenji Novak, Amara Wilson, Priya Petrov, Diego Kapoor","Australia, Japan","April 05, 2016",2007,TV-Y7,1 Season,"Action & Adventure, Crime TV Shows",Follow the lives of rival gangs as they navigate high-stakes competition.
s193,TV Show,World Family,,"Meera Rossi, Wei Silva","South Korea, Nigeria","January 25, 2022",2009,TV-14,1 Season,"Music & Musicals, Stand-Up Comedy",Follow the lives of a group of detectives as they navigate political intrigue.
s194,Movie,Last Dream,Sofia Rossi,"Rahul Diallo, Aisha Khan","Japan, United States","April 27, 2017",2020,TV-Y7,97 min,"Music & Musicals, Anime Series, Crime TV Shows",A gripping story about love set against the backdrop of the high seas.
s195,Movie,Distant Signal,Yuki Tanaka,"Hana Torres, Sophia Kobayashi, Isabella Novak, Olivia Muller",Italy,"April 12, 2017",2010,PG,129 min,"International Movies, Dramas",A gripping story about ambition set against the backdrop of a war-torn nation.
s196,Movie,Forgotten Valley,James Cooper,"Rahul Nair, Liam Singh, Fatima Torres, Diego Silva, Aisha Kobayashi",South Korea,"August 29, 2024",2010,PG,108 min,"International Movies, Action & Adventure",A gripping story about revenge set against the backdrop of the high seas.
s197,Movie,Burning Legacy,Ana Silva,"Elena Rossi, Diego Johnson, Diego Novak, Liam Reddy",Spain,"March 18, 2021",2019,PG-13,153 min,"Dramas, Comedies",A gripping story about love set against the backdrop of a bustling city.
s198,Movie,Quiet Path,Nina Petrova,"Wei Khan, Meera Muller","United Kingdom, Mexico, Italy","October 19, 2017",2019,TV-PG,174 min,"Stand-Up Comedy, Documentaries",A gripping story about hope set against the backdrop of a forgotten era.
s199,TV Show,The Doctors,Grace Lee,"Aisha Rossi, Lucas Novak, Priya Johnson, Hana Garcia","Nigeria, Italy, Japan","August 31, 2016",2012,NC-17,6 Seasons,Dramas,Follow the lives of a group of friends as they navigate personal crises.
s200,Movie,Broken Journey,Rajesh Kumar,"Olivia Reddy, Carlos Chen, Wei Smith, Aisha Rahman","Italy, South Korea","December 14, 2020",1999,NC-17,144 min,"Stand-Up Comedy, Action & Adventure",A gripping story about family set against the backdrop of a forgotten era.
